source_host,artifact_path,sha256,size_bytes,mtime_utc,cross_host_status,variant_count,host_baseline_status,baseline_sha256
122174,.DS_Store,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd,10244,2026-08-02T09:48:52Z,same_across_all_hosts,1,same_as_baseline,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd
122175,.DS_Store,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd,10244,2026-08-02T09:48:52Z,same_across_all_hosts,1,same_as_baseline,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd
122447,.DS_Store,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd,10244,2026-08-02T09:48:52Z,same_across_all_hosts,1,same_as_baseline,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd
122448,.DS_Store,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd,10244,2026-08-02T09:48:52Z,same_across_all_hosts,1,same_as_baseline,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd
122456,.DS_Store,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd,10244,2026-08-02T09:48:52Z,same_across_all_hosts,1,same_as_baseline,39d8a7a964763c3fdf7a6624ac95255059063466b7978abf9b052e79521822fd
122174,builds/.DS_Store,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27,6148,2026-08-02T09:29:10Z,same_across_all_hosts,1,same_as_baseline,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27
122175,builds/.DS_Store,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27,6148,2026-08-02T09:29:10Z,same_across_all_hosts,1,same_as_baseline,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27
122447,builds/.DS_Store,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27,6148,2026-08-02T09:29:10Z,same_across_all_hosts,1,same_as_baseline,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27
122448,builds/.DS_Store,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27,6148,2026-08-02T09:29:10Z,same_across_all_hosts,1,same_as_baseline,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27
122456,builds/.DS_Store,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27,6148,2026-08-02T09:29:10Z,same_across_all_hosts,1,same_as_baseline,0a61903f559f5d0f97f5d9e36087f73cce26d7e593c39d2d78a8c058cb9cad27
