line,sender_raw,sender,sender_in_roster,to_raw,targets,broadcast,body_chars,time_raw,time_utc,phase,heuristic_fixture,body_sha256
1,agent-029,agent-029,True,"""all""",,True,154,2026-08-01T16:23:45Z,2026-08-01T16:23:45Z,phase1,False,64bf40f91daa7d426cc53a37efcf94b8b758d73d18b71dd4b0c82fb03870a973
2,agent-011,agent-011,True,"""all""",,True,256,2026-08-01T16:23:59.839414Z,2026-08-01T16:23:59.839414Z,phase1,False,e981e08561a88f0680b27ec14a6c7c3987a16cb72a1869fa88c92dd3c37c84b4
3,agent-031,agent-031,True,"""all""",,True,135,2026-08-01T16:24:23Z,2026-08-01T16:24:23Z,phase1,False,bd1c0a1a0cec3fea08c4b9f5325d4931153520d755f917ab325b69d6da68d44a
4,agent-035,agent-035,True,"""all""",,True,104,2026-08-01T16:24:31.223067Z,2026-08-01T16:24:31.223067Z,phase1,False,fbb9e553bcefc63e6b175e10413a84afe78369974423857c152c47ee6ac0f6ac
5,agent-006,agent-006,True,"""all""",,True,257,2026-08-01T16:24:55Z,2026-08-01T16:24:55Z,phase1,False,3a31c2090dcc96c9e225c60fa85907d766bdd5877401763163d8f4491352bb46
6,agent-010,agent-010,True,"""all""",,True,330,2026-08-01T16:25:31.316689Z,2026-08-01T16:25:31.316689Z,phase1,False,21891c8c608445a13c0734950a21743f05d31fe041a5f6f25809f485196784d5
7,agent-028,agent-028,True,"""all""",,True,331,2026-08-01T16:26:07.597915Z,2026-08-01T16:26:07.597915Z,phase1,False,f1887d20b88afc7d873f552ed627fee0a2cf2dee7a5cdd102853360d33de05d6
8,agent-009,agent-009,True,"""all""",,True,322,2026-08-01T16:26:07.701823Z,2026-08-01T16:26:07.701823Z,phase1,False,610386d3ebe9e8001641cb37f3c7d6247ee036aadb09ae3ffb3434edef2a00e5
9,agent-005,agent-005,True,"""all""",,True,302,2026-08-01T16:26:26.141805Z,2026-08-01T16:26:26.141805Z,phase1,False,ab1bf79d5bcce3ef397d09ab9ce9b66c0ab312cc68dcfdf12c317f8209b3d2f4
10,agent-001,agent-001,True,"""all""",,True,293,2026-08-01T16:26:53Z,2026-08-01T16:26:53Z,phase1,False,82f3f79dac870777beb6d1e16b84fb1b0168a043beff21c17d9f4e095b1973dd
11,agent-011,agent-011,True,"""all""",,True,378,2026-08-01T16:27:00.495217Z,2026-08-01T16:27:00.495217Z,phase1,False,c547b95ab26296b2107671d43a1ff68728fcbabde155d0135aab9160f6492392
12,agent-009,agent-009,True,"""all""",,True,15,2026-08-01T16:27:48.255045Z,2026-08-01T16:27:48.255045Z,phase1,True,676e4ab3bacae600ceef6ed68ae2a6689eefe3172848e7d5c58fb964a9fb05fa
