session,base_session,model,root_agent,root_generation,is_root_swarm_session,meta_created_utc,meta_updated_utc,meta_message_count,actual_message_count,assistant_messages_stream_count,first_assistant_utc,last_assistant_utc,usage_records,prompt_tokens_recorded,completion_tokens_recorded,cached_tokens_recorded,gen2_memory_says_no_inbound_citers,phase1_raw_inbound_events,parse_error
0147ba9d-686,0147ba9d-686,gpt56_sol_reasoning_xhigh,,,False,2026-08-01T22:13:10.407758Z,2026-08-01T22:24:41.984576Z,36,not_loaded_memory_safe,8,2026-08-01T22:13:29.702749Z,2026-08-01T22:24:32.225575Z,not_scanned,,,,False,,False
01c9625a-64b,01c9625a-64b,es1_orange_o50_thinking,agent-018,1,True,2026-08-01T16:21:34.148211Z,2026-08-02T22:51:41.620059Z,367,not_loaded_memory_safe,492,2026-08-01T16:22:07.234225Z,2026-08-02T22:51:33.702744Z,not_scanned,,,,False,61,False
023955b4-f47,023955b4-f47,es1_orange_o50_thinking,agent-017,2,True,2026-08-02T08:26:59.662755Z,2026-08-02T23:24:35.464971Z,61,not_loaded_memory_safe,63,2026-08-02T08:29:07.481948Z,2026-08-02T23:24:34.159433Z,not_scanned,,,,True,80,False
03f8214b-2f3,03f8214b-2f3,es1_orange_o50,agent-024,1,True,2026-08-01T16:21:36.868878Z,2026-08-02T20:48:31.863939Z,482,not_loaded_memory_safe,263,2026-08-01T16:22:10.607416Z,2026-08-02T20:45:56.981799Z,not_scanned,,,,False,36,False
08c31c15-dc2,08c31c15-dc2,es1_orange_o50,agent-022,2,True,2026-08-02T08:44:42.219432Z,2026-08-02T20:59:18.136999Z,58,not_loaded_memory_safe,22,2026-08-02T08:45:40.164742Z,2026-08-02T20:59:11.342476Z,not_scanned,,,,True,117,False
0b8cc07d-3e0,0b8cc07d-3e0,gpt56_sol,,,False,2026-08-02T08:35:16.505200Z,2026-08-02T08:35:16.505201Z,0,not_loaded_memory_safe,0,,,not_scanned,,,,False,,False
1333004c-bef,1333004c-bef,gpt56_sol_reasoning_xhigh,agent-002,2,True,2026-08-02T08:32:53.239027Z,2026-08-02T20:45:38.108394Z,65,not_loaded_memory_safe,21,2026-08-02T08:34:02.314891Z,2026-08-02T20:41:22.133765Z,not_scanned,,,,True,39,False
1562b5f9-a05,1562b5f9-a05,seed-stable,agent-034,2,True,2026-08-02T08:51:11.878693Z,2026-08-02T23:06:04.953941Z,79,not_loaded_memory_safe,39,2026-08-02T08:52:44.068452Z,2026-08-02T23:06:03.563830Z,not_scanned,,,,True,17,False
16b87681-78f,16b87681-78f,es1_orange_o50_thinking_max,agent-013,1,True,2026-08-01T16:21:31.207159Z,2026-08-02T20:46:09.889543Z,388,not_loaded_memory_safe,293,2026-08-01T16:21:54.742553Z,2026-08-02T20:42:01.233240Z,not_scanned,,,,False,36,False
1a01e4f2-b58,1a01e4f2-b58,es1_orange_o50_thinking,agent-017,2,True,2026-08-02T08:41:35.958069Z,2026-08-03T04:07:10.923202Z,54,not_loaded_memory_safe,189,2026-08-02T08:42:23.262089Z,2026-08-03T04:07:10.874786Z,not_scanned,,,,True,80,False
1aa4d595-b4f.archive.0,1aa4d595-b4f,seed-stable,agent-034,1,True,2026-08-01T22:05:30.888316Z,2026-08-01T22:05:30.888316Z,349,not_loaded_memory_safe,160,2026-08-01T16:22:21.798219Z,2026-08-01T22:04:26.672012Z,not_scanned,,,,False,17,False
1aa4d595-b4f,1aa4d595-b4f,seed-stable,agent-034,1,True,2026-08-01T16:21:59.640779Z,2026-08-02T20:46:16.731162Z,278,not_loaded_memory_safe,163,2026-08-01T22:00:08.010159Z,2026-08-02T20:43:22.935959Z,not_scanned,,,,False,,False
1ae5033f-b7d,1ae5033f-b7d,es1_orange_o50,agent-021,2,True,2026-08-02T08:43:09.085966Z,2026-08-02T20:59:46.020622Z,51,not_loaded_memory_safe,41,2026-08-02T08:45:31.930245Z,2026-08-02T20:59:41.385184Z,not_scanned,,,,True,105,False
1b275476-035,1b275476-035,gpt56_sol,agent-012,2,True,2026-08-02T08:39:11.018999Z,2026-08-02T20:46:41.654913Z,65,not_loaded_memory_safe,19,2026-08-02T08:40:51.512483Z,2026-08-02T20:45:25.619677Z,not_scanned,,,,True,22,False
1c04308e-523,1c04308e-523,seed-stable,agent-036,2,True,2026-08-02T08:52:06.427685Z,2026-08-03T02:16:08.023021Z,145,not_loaded_memory_safe,65,2026-08-02T08:53:26.024089Z,2026-08-03T02:16:07.587383Z,not_scanned,,,,True,20,False
1d27abe7-de1,1d27abe7-de1,gpt56_sol,agent-009,1,True,2026-08-01T16:21:28.274391Z,2026-08-02T21:26:18.757814Z,761,not_loaded_memory_safe,327,2026-08-01T16:21:55.927946Z,2026-08-02T21:24:23.582705Z,not_scanned,,,,False,76,False
1f8f42ce-dac,1f8f42ce-dac,gpt56_sol_reasoning_high,agent-008,2,True,2026-08-02T08:35:05.473954Z,2026-08-02T20:46:44.327148Z,71,not_loaded_memory_safe,18,2026-08-02T08:38:54.022187Z,2026-08-02T20:45:26.932255Z,not_scanned,,,,True,42,False
23ba5ee8-488,23ba5ee8-488,gpt56_sol_reasoning_high,agent-005,2,True,2026-08-02T08:21:44.734363Z,2026-08-02T20:45:54.427272Z,74,not_loaded_memory_safe,52,2026-08-02T08:22:47.742159Z,2026-08-02T20:42:16.232431Z,not_scanned,,,,True,77,False
25abcbc9-264,25abcbc9-264,es1_orange_o50_thinking_max,agent-013,2,True,2026-08-02T08:39:58.150300Z,2026-08-02T21:43:52.266103Z,58,not_loaded_memory_safe,60,2026-08-02T08:41:11.748470Z,2026-08-02T21:43:49.262908Z,not_scanned,,,,True,36,False
2750bce2-8cb,2750bce2-8cb,gpt56_sol_reasoning_xhigh,agent-001,2,True,2026-08-02T08:20:34.590618Z,2026-08-02T20:43:28.071862Z,82,not_loaded_memory_safe,35,2026-08-02T08:21:29.732370Z,2026-08-02T15:39:36.034264Z,not_scanned,,,,True,53,False
2c9df438-bb2,2c9df438-bb2,gpt56_sol_reasoning_xhigh,agent-002,2,True,2026-08-02T08:21:04.659191Z,2026-08-02T20:45:50.460505Z,79,not_loaded_memory_safe,24,2026-08-02T08:21:33.889714Z,2026-08-02T20:41:54.227127Z,not_scanned,,,,True,39,False
