source_host,actor,sent_count,broadcast_sent_count,direct_sent_count,message_chars,mean_message_chars,distinct_recipients,recipient_counts_json
122174,,11,0,0,8044,731.273,1,"{"""":11}"
122174,REAPER,6,6,0,389,64.833,1,"{""all"":6}"
122174,agent-000,14,14,0,203,14.5,1,"{""all"":14}"
122174,agent-001,76,44,32,39495,519.671,13,"{""agent-005"":10,""agent-006"":1,""agent-008"":5,""agent-009"":4,""agent-014"":1,""agent-020"":4,""agent-021"":1,""agent-026"":2,""agent-028"":1,""agent-029"":1,""agent-031"":1,""agent-035"":1,""all"":44}"
122174,agent-002,63,47,16,33486,531.524,11,"{""agent-008"":1,""agent-010"":1,""agent-011"":1,""agent-017"":6,""agent-018"":1,""agent-022"":1,""agent-023"":1,""agent-026"":1,""agent-028"":1,""agent-029"":2,""all"":47}"
122174,agent-003,51,42,9,30679,601.549,7,"{""agent-004"":1,""agent-010"":2,""agent-014"":1,""agent-017"":2,""agent-018"":2,""agent-034"":1,""all"":42}"
122174,agent-004,78,52,26,43398,556.385,9,"{""agent-010"":5,""agent-013"":1,""agent-017"":14,""agent-019"":2,""agent-020"":1,""agent-029"":1,""agent-034"":1,""agent-035"":1,""all"":52}"
122174,agent-005,88,59,29,43876,498.591,6,"{""agent-001"":7,""agent-008"":5,""agent-009"":9,""agent-021"":3,""agent-026"":5,""all"":59}"
122174,agent-006,77,58,19,39248,509.714,8,"{""agent-001"":2,""agent-005"":1,""agent-009"":10,""agent-012"":1,""agent-021"":2,""agent-022"":2,""agent-023"":1,""all"":58}"
122174,agent-007,55,41,14,30529,555.073,7,"{""agent-002"":1,""agent-008"":3,""agent-014"":1,""agent-017"":7,""agent-019"":1,""agent-029"":1,""all"":41}"
122174,agent-008,72,49,23,42102,584.75,11,"{""agent-001"":1,""agent-005"":4,""agent-007"":1,""agent-009"":3,""agent-011"":1,""agent-014"":2,""agent-015"":1,""agent-017"":5,""agent-021"":4,""agent-026"":1,""all"":49}"
122174,agent-009,97,51,46,47316,487.794,8,"{""agent-001"":8,""agent-005"":13,""agent-006"":11,""agent-008"":6,""agent-010"":2,""agent-014"":1,""agent-021"":5,""all"":51}"
122174,agent-010,53,33,20,35550,670.755,11,"{""agent-002"":1,""agent-003"":1,""agent-004"":2,""agent-009"":2,""agent-011"":4,""agent-015"":1,""agent-017"":4,""agent-021"":1,""agent-034"":3,""agent-035"":1,""all"":33}"
122174,agent-0101,75,32,43,27026,360.347,11,"{""agent-010"":1,""agent-0106"":5,""agent-0111"":2,""agent-0121"":3,""agent-0131"":10,""agent-014"":1,""agent-015"":2,""agent-037"":6,""agent-042"":11,""agent-047"":2,""all"":32}"
122174,agent-0106,53,53,0,254841,4808.321,1,"{""all"":53}"
122174,agent-011,41,30,11,20721,505.39,9,"{""agent-002"":1,""agent-010"":1,""agent-014"":2,""agent-015"":1,""agent-017"":2,""agent-018"":1,""agent-021"":1,""agent-028"":2,""all"":30}"
122174,agent-0111,84,37,47,34554,411.357,9,"{""agent-0101"":3,""agent-0106"":8,""agent-0121"":2,""agent-0131"":1,""agent-0141"":2,""agent-037"":9,""agent-042"":15,""agent-047"":7,""all"":37}"
122174,agent-012,46,40,6,25146,546.652,4,"{""agent-028"":1,""agent-030"":2,""agent-036"":3,""all"":40}"
122174,agent-0121,19,7,12,8048,423.579,7,"{""agent-0101"":3,""agent-0111"":2,""agent-023"":1,""agent-037"":3,""agent-042"":1,""agent-047"":2,""all"":7}"
122174,agent-013,22,22,0,43074,1957.909,1,"{""all"":22}"
122174,agent-0131,45,45,0,177099,3935.533,1,"{""all"":45}"
122174,agent-0136,2,2,0,2094,1047.0,1,"{""all"":2}"
122174,agent-014,20,20,0,67027,3351.35,1,"{""all"":20}"
122174,agent-0141,42,42,0,137340,3270.0,1,"{""all"":42}"
122174,agent-0146,17,8,9,8717,512.765,4,"{""agent-0141"":3,""agent-0151"":5,""agent-0156"":1,""all"":8}"
122174,agent-015,21,21,0,53388,2542.286,1,"{""all"":21}"
122174,agent-0151,24,24,0,97980,4082.5,1,"{""all"":24}"
