host,pid,captured_utc,context_index,agent_id,client_class,model,history_field,history_count,system_count,user_count,assistant_count,tool_count,typed_item_count,direct_string_content_chars,history_sha256,history_sha256_recomputed,recovery_method,file_bytes,file_sha256,path
122174,160652,2026-08-03T14:28:26.265371+00:00,0,agent-072,OpenAIAgent,ep-20260702161005-jcdtr,messages,368,1,189,79,99,0,621461,cb5f47e22b64fad6887f6fe89944c6eaa8b025dc8b91841e142c9452d7c47640,cb5f47e22b64fad6887f6fe89944c6eaa8b025dc8b91841e142c9452d7c47640,live_process_sanitized_export,999509,19a1905f5b0f2336e0ccbb2873e43f96d6a160d4990943306ca1f3e4a2bbe24e,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_160652.json
122174,160665,2026-08-03T14:31:33.833239+00:00,0,agent-0176,AnthropicAgent,es1_orange_o50,messages,1148,0,627,521,0,0,190367,ada11254ce2cc6fd40c6c760ccc2d8660aa252453a61579c5493d415119e475c,ada11254ce2cc6fd40c6c760ccc2d8660aa252453a61579c5493d415119e475c,live_process_sanitized_export,3204130,75605250fd2eb4039a53b46e1e1a438478351efd29062c8839140994c840bef6,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_160665.json
122174,160798,2026-08-03T14:31:34.101141+00:00,0,agent-072,OpenAIAgent,ep-20260702161005-jcdtr,messages,440,1,181,117,141,0,573481,d484ab03c56bfdf2062da4214fc1168359fcaa823a106e1f3920b6fe8e6666d3,d484ab03c56bfdf2062da4214fc1168359fcaa823a106e1f3920b6fe8e6666d3,live_process_sanitized_export,1103073,f377ba3fa7ca07ef550092cdc96afe8373730dce78bf2c8f8d35cfc16c2c46da,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_160798.json
122174,160939,2026-08-03T14:31:34.336394+00:00,0,agent-0186,AnthropicAgent,es1_orange_o50,messages,1413,0,752,661,0,0,183626,1fbf687c96bc9c8f9c077dddcd57da2e717e154e707dd96fbef280ce444a92ab,1fbf687c96bc9c8f9c077dddcd57da2e717e154e707dd96fbef280ce444a92ab,live_process_sanitized_export,3254059,8770fcb4d30e24159b163f85dfa55786f00a30c8010a7a2a03ee4a99c7b3dbe0,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_160939.json
122174,169764,2026-08-03T14:31:34.621027+00:00,0,agent-0196,AnthropicAgent,es1_orange_o50,messages,1163,0,591,572,0,0,100666,cb0bbbef85bdb6e96076c9561c3042a004eef2be59cd92cef1720202f7b41b0a,cb0bbbef85bdb6e96076c9561c3042a004eef2be59cd92cef1720202f7b41b0a,live_process_sanitized_export,2869554,39de69f12c9b2b5dab997ae42ee5a22b477d5db39b7e78d4dcb87965829c5150,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_169764.json
122174,172552,2026-08-03T14:31:34.891964+00:00,0,agent-077,AnthropicAgent,es1_orange_o50,messages,882,0,446,436,0,0,64417,65960af66f759540c62b61b9866c9146ab64443bbf5366b6abb6b5852d10ba6e,65960af66f759540c62b61b9866c9146ab64443bbf5366b6abb6b5852d10ba6e,live_process_sanitized_export,2471200,bb41556ceb26d7108892f637881f88e47ce0dde0fa3dea56d68b3bfe748619b1,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_172552.json
122174,172822,2026-08-03T14:31:35.127279+00:00,0,agent-0206,OpenAIAgent,ep-20260802152152-sklbd,messages,68,1,67,0,0,0,76066,56a8c0adb70b51da7e95110dcba43770792f41d7751cb454c00a3fb7e442b002,56a8c0adb70b51da7e95110dcba43770792f41d7751cb454c00a3fb7e442b002,live_process_sanitized_export,82638,2d4ff6f168942c1b0c8344d29b5375e60acf261471b767cadddd5cca25598b75,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_172822.json
122174,176917,2026-08-03T14:31:35.308647+00:00,0,agent-0216,OpenAIAgent,ep-20260802152152-sklbd,messages,42,1,41,0,0,0,46859,ecf3e518ba4565aa8f4c0d030ae571b2c5206c773a67fba385e949f2841d51ef,ecf3e518ba4565aa8f4c0d030ae571b2c5206c773a67fba385e949f2841d51ef,live_process_sanitized_export,51208,e1d924f23204aa1ecd76051d201972d7c2ec1ad7dc35bf8789a8a674e8a6c4cb,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_176917.json
122174,181031,2026-08-03T14:31:35.491612+00:00,0,agent-0221,AnthropicAgent,es1_orange_o50,messages,261,0,136,125,0,0,18259,413677143bc1e0fcf3a36c38db7081115e4684c2c36ac05cf49b31699cd74644,413677143bc1e0fcf3a36c38db7081115e4684c2c36ac05cf49b31699cd74644,live_process_sanitized_export,860908,a804f81556eb0ec5de2dca9c854c06ddfcaf13827e348fe15edab4010ef70878,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_181031.json
122174,184515,2026-08-03T14:31:35.702911+00:00,0,agent-0226,OpenAIAgent,ep-20260802152152-sklbd,messages,438,1,83,207,147,0,475955,6d6e43d3ae0122ab46762d1a1c68d8c9a7f31f032ccae9090eab07459661bc7e,6d6e43d3ae0122ab46762d1a1c68d8c9a7f31f032ccae9090eab07459661bc7e,live_process_sanitized_export,935253,db8d4c9439c9558cbe8ae8e1344dace8323b6950c77607743b3080b387e677bc,/Users/bytedance/Documents/Codex/2026-08-03/ni/work/recover_gen2_context/extracted/122174/pid_184515.json
