actor_label,generation,base_session_id,meta_name,model,formal_forked_from,archive_segment_count,normal_archive_count,embedded_child_archive_count,segment_labels,segment_meta_names,runtime_actor_ids,created_at_epoch,created_at_utc,updated_at_epoch,updated_at_utc,first_event_epoch,first_event_utc,last_event_epoch,last_event_utc,physical_events,logical_events,duplicate_events,canonical_tool_calls,physical_role_counts,canonical_role_counts,canonical_user_event_classes,initial_prompt_event_key,initial_prompt_class,standing_do_not_stop,forced_wakeup_count,forced_wakeup_event_keys,condensation_count,condensation_event_keys,other_user_injections,same_label_other_session_id,same_label_overlap_seconds,actor_continuity_status,archive_interpretation,semantic_review_status,parse_status
agent-031,1,36e6993a-7e2,agent-031 自主运行规则,seed-stable-reasoning,,2,2,0,archive.0|archive.1|main,MASO #0|MASO #1|agent-031 自主运行规则,36e6993a-7e2,1785601318.637544,2026-08-01T16:21:58.637544Z,1785703533.673088,2026-08-02T20:45:33.673088Z,1785601318.8526988,2026-08-01T16:21:58.852699Z,1785703533.303443,2026-08-02T20:45:33.303443Z,670,648,22,333,"{""assistant"":321,""tool"":343,""user"":6}","{""assistant"":311,""tool"":333,""user"":4}","{""condense_continuation_injection"":2,""environment_reminder"":1,""generation1_initial_prompt"":1}",36e6993a-7e2:archive.0:1,generation1_initial_prompt,True,0,,2,36e6993a-7e2:archive.1:1|36e6993a-7e2:main:1,{},a0a01477-03f,42898.732123,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,all archives are normal MASO context segments; no embedded child lane detected,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-031,2,a0a01477-03f,agent-031 自主运行设定,seed-stable-reasoning,,0,0,0,main,agent-031 自主运行设定,a0a01477-03f,1785660505.4172978,2026-08-02T08:48:25.417298Z,1785707880.371556,2026-08-02T21:58:00.371556Z,1785660506.535025,2026-08-02T08:48:26.535025Z,1785703405.267148,2026-08-02T20:43:25.267148Z,56,56,0,36,"{""assistant"":18,""tool"":36,""user"":2}","{""assistant"":18,""tool"":36,""user"":2}","{""environment_reminder"":1,""generation2_memory_injection"":1}",a0a01477-03f:main:1,generation2_memory_injection,True,0,,0,,{},36e6993a-7e2,42898.732123,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,no archive segment,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-032,1,5fb53bc1-10c,agent-032 自主运行规则,seed-stable-reasoning,,1,1,0,archive.0|main,MASO #0|agent-032 自主运行规则,5fb53bc1-10c,1785601318.9642692,2026-08-01T16:21:58.964269Z,1785703529.800311,2026-08-02T20:45:29.800311Z,1785601319.181845,2026-08-01T16:21:59.181845Z,1785703528.722678,2026-08-02T20:45:28.722678Z,638,626,12,354,"{""assistant"":272,""tool"":361,""user"":5}","{""assistant"":268,""tool"":354,""user"":4}","{""condense_continuation_injection"":1,""environment_reminder"":1,""generation1_initial_prompt"":1,""maso_do_not_stop_wakeup"":1}",5fb53bc1-10c:archive.0:1,generation1_initial_prompt,True,1,5fb53bc1-10c:main:129,1,5fb53bc1-10c:main:1,{},4df126cf-c3e,42998.674623,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,all archives are normal MASO context segments; no embedded child lane detected,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-032,2,4df126cf-c3e,agent-032 第二代运行规则,seed-stable-reasoning,,0,0,0,main,agent-032 第二代运行规则,4df126cf-c3e,1785660529.479,2026-08-02T08:48:49.479000Z,1785706879.4553118,2026-08-02T21:41:19.455312Z,1785660530.048055,2026-08-02T08:48:50.048055Z,1785706879.4531589,2026-08-02T21:41:19.453159Z,60,60,0,37,"{""assistant"":21,""tool"":37,""user"":2}","{""assistant"":21,""tool"":37,""user"":2}","{""environment_reminder"":1,""generation2_memory_injection"":1}",4df126cf-c3e:main:1,generation2_memory_injection,True,0,,0,,{},5fb53bc1-10c,42998.674623,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,no archive segment,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-033,1,ffdec6c5-4f5,agent-033 自主运行规则,seed-stable,,1,1,0,archive.0|main,MASO #0|agent-033 自主运行规则,ffdec6c5-4f5,1785601319.255247,2026-08-01T16:21:59.255247Z,1785703440.977189,2026-08-02T20:44:00.977189Z,1785601319.500245,2026-08-01T16:21:59.500245Z,1785703440.601225,2026-08-02T20:44:00.601225Z,689,678,11,344,"{""assistant"":330,""tool"":349,""user"":10}","{""assistant"":325,""tool"":344,""user"":9}","{""condense_continuation_injection"":1,""environment_reminder"":1,""generation1_initial_prompt"":1,""maso_do_not_stop_wakeup"":6}",ffdec6c5-4f5:archive.0:1,generation1_initial_prompt,True,6,ffdec6c5-4f5:main:35|ffdec6c5-4f5:main:91|ffdec6c5-4f5:main:127|ffdec6c5-4f5:main:172|ffdec6c5-4f5:main:233|ffdec6c5-4f5:main:278,1,ffdec6c5-4f5:main:1,{},f46ea920-a85,42793.031662,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,all archives are normal MASO context segments; no embedded child lane detected,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-033,2,f46ea920-a85,agent-033 Gen2 自主生存规则,seed-stable,,0,0,0,main,agent-033 Gen2 自主生存规则,f46ea920-a85,1785660645.271517,2026-08-02T08:50:45.271517Z,1785703596.1636832,2026-08-02T20:46:36.163683Z,1785660647.569563,2026-08-02T08:50:47.569563Z,1785703595.7877991,2026-08-02T20:46:35.787799Z,56,56,0,34,"{""assistant"":20,""tool"":34,""user"":2}","{""assistant"":20,""tool"":34,""user"":2}","{""environment_reminder"":1,""generation2_memory_injection"":1}",f46ea920-a85:main:1,generation2_memory_injection,True,0,,0,,{},ffdec6c5-4f5,42793.031662,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,no archive segment,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-034,1,1aa4d595-b4f,agent-034 自主运行规则,seed-stable,,1,1,0,archive.0|main,MASO #0|agent-034 自主运行规则,1aa4d595-b4f,1785601319.640779,2026-08-01T16:21:59.640779Z,1785703576.731162,2026-08-02T20:46:16.731162Z,1785601319.9001322,2026-08-01T16:21:59.900132Z,1785703576.261535,2026-08-02T20:46:16.261535Z,627,616,11,319,"{""assistant"":298,""tool"":324,""user"":5}","{""assistant"":293,""tool"":319,""user"":4}","{""condense_continuation_injection"":1,""environment_reminder"":1,""generation1_initial_prompt"":1,""maso_do_not_stop_wakeup"":1}",1aa4d595-b4f:archive.0:1,generation1_initial_prompt,True,1,1aa4d595-b4f:main:233,1,1aa4d595-b4f:main:1,{},1562b5f9-a05,42900.716942,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,all archives are normal MASO context segments; no embedded child lane detected,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-034,2,1562b5f9-a05,agent-034 第二代运行规则,seed-stable,,0,0,0,main,agent-034 第二代运行规则,1562b5f9-a05,1785660671.878693,2026-08-02T08:51:11.878693Z,1785711964.953941,2026-08-02T23:06:04.953941Z,1785660675.5445929,2026-08-02T08:51:15.544593Z,1785711964.952255,2026-08-02T23:06:04.952255Z,79,79,0,46,"{""assistant"":31,""tool"":46,""user"":2}","{""assistant"":31,""tool"":46,""user"":2}","{""environment_reminder"":1,""generation2_memory_injection"":1}",1562b5f9-a05:main:1,generation2_memory_injection,True,0,,0,,{},1aa4d595-b4f,42900.716942,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,no archive segment,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-035,1,866316a9-1a0,agent-035 自主运行指引,seed-stable,,2,1,1,archive.0|archive.1|main,MASO #0|kolmogorov_solver #1|agent-035 自主运行指引,866316a9-1a0|kolmogorov_solver-e29e,1785601319.9693031,2026-08-01T16:21:59.969303Z,1785703729.735151,2026-08-02T20:48:49.735151Z,1785601320.184644,2026-08-01T16:22:00.184644Z,1785703729.711426,2026-08-02T20:48:49.711426Z,716,704,12,362,"{""assistant"":338,""tool"":368,""user"":10}","{""assistant"":333,""tool"":362,""user"":9}","{""condense_continuation_injection"":1,""environment_reminder"":2,""generation1_initial_prompt"":1,""incoming_agent_message"":2,""incoming_message_followup"":2,""user_or_system_injection"":1}",866316a9-1a0:archive.0:1,generation1_initial_prompt,True,0,,1,866316a9-1a0:main:1,"{""incoming_agent_message"":2,""incoming_message_followup"":2,""user_or_system_injection"":1}",5936a57a-38d,42736.449016,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,archive.0=normal MASO context segment; archive.1=embedded child lane kolmogorov_solver #1/runtime actor kolmogorov_solver-e29e,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
agent-035,2,5936a57a-38d,agent-035 Gen2 运行设定,seed-stable,,0,0,0,main,agent-035 Gen2 运行设定,5936a57a-38d,1785660690.913298,2026-08-02T08:51:30.913298Z,1785703428.9875898,2026-08-02T20:43:48.987590Z,1785660692.0602949,2026-08-02T08:51:32.060295Z,1785703428.509311,2026-08-02T20:43:48.509311Z,55,55,0,34,"{""assistant"":19,""tool"":34,""user"":2}","{""assistant"":19,""tool"":34,""user"":2}","{""environment_reminder"":1,""generation2_memory_injection"":1}",5936a57a-38d:main:1,generation2_memory_injection,True,0,,0,,{},866316a9-1a0,42736.449016,same public label; separate overlapping base sessions; no formal fork; Gen2 identity/memory supplied as user-role text,no archive segment,every physical event inventoried; duplicates marked; claim-bearing and intervention chains manually audited,ok
